X	Y (m)	z(m)
1	2.44E+03	2.64
1	2.44E+03	2.64
1	2.44E+03	2.64
1	2.45E+03	2.64
1	2.45E+03	2.64
1	2.46E+03	2.64
1	2.46E+03	2.65
1	2.46E+03	2.65
1	2.47E+03	2.65
1	2.47E+03	2.66
1	2.47E+03	2.66
1	2.48E+03	2.66
1	2.48E+03	2.67
1	2.48E+03	2.67
1	2.49E+03	2.67
1	2.49E+03	2.67
1	2.49E+03	2.67
1	2.50E+03	2.68
1	2.50E+03	2.68
1	2.51E+03	2.68
1	2.51E+03	2.69
1	2.51E+03	2.69
1	2.52E+03	2.69
1	2.52E+03	2.7
1	2.52E+03	2.7
1	2.53E+03	2.7
1	2.53E+03	2.7
1	2.53E+03	2.7
1	2.54E+03	2.7
1	2.54E+03	2.71
1	2.54E+03	2.71
1	2.55E+03	2.71
1	2.55E+03	2.72
1	2.55E+03	2.72
1	2.56E+03	2.72
1	2.56E+03	2.73
1	2.57E+03	2.73
1	2.57E+03	2.73
1	2.57E+03	2.73
1	2.58E+03	2.73
1	2.58E+03	2.73
1	2.58E+03	2.74
1	2.59E+03	2.74
1	2.59E+03	2.74
1	2.59E+03	2.75
1	2.60E+03	2.75
1	2.60E+03	2.75
1	2.60E+03	2.76
1	2.61E+03	2.76
1	2.61E+03	2.76
1	2.62E+03	2.77
1	2.62E+03	2.77
1	2.62E+03	2.77
1	2.63E+03	2.77
1	2.63E+03	2.77
1	2.63E+03	2.77
1	2.64E+03	2.78
1	2.64E+03	2.78
1	2.64E+03	2.78
1	2.65E+03	2.79
1	2.65E+03	2.79
1	2.65E+03	2.79
1	2.66E+03	2.8
1	2.66E+03	2.8
1	2.66E+03	2.8
1	2.67E+03	2.8
1	2.67E+03	2.8
1	2.68E+03	2.8
1	2.68E+03	2.81
1	2.68E+03	2.81
1	2.69E+03	2.81
1	2.69E+03	2.81
1	2.69E+03	2.81
1	2.70E+03	2.81
1	2.70E+03	2.81
1	2.70E+03	2.83
1	2.71E+03	2.83
1	2.71E+03	2.83
1	2.71E+03	2.83
1	2.72E+03	2.83
1	2.72E+03	2.83
1	2.72E+03	2.83
1	2.73E+03	2.83
1	2.73E+03	2.83
1	2.74E+03	2.85
1	2.74E+03	2.85
1	2.74E+03	2.85
1	2.75E+03	2.85
1	2.75E+03	2.85
1	2.75E+03	2.85
1	2.76E+03	2.85
1	2.76E+03	2.85
1	2.76E+03	2.85
1	2.77E+03	2.87
1	2.77E+03	2.87
1	2.77E+03	2.87
1	2.78E+03	2.87
1	2.78E+03	2.88
1	2.79E+03	2.88
1	2.79E+03	2.88
1	2.79E+03	2.89
1	2.80E+03	2.89
1	2.80E+03	2.89
1	2.80E+03	2.89
1	2.81E+03	2.89
1	2.81E+03	2.89
1	2.81E+03	2.9
1	2.82E+03	2.91
1	2.82E+03	2.91
1	2.82E+03	2.91
1	2.83E+03	2.91
1	2.83E+03	2.91
1	2.83E+03	2.91
1	2.84E+03	2.92
1	2.84E+03	2.92
1	2.85E+03	2.92
1	2.85E+03	2.92
1	2.85E+03	2.93
1	2.86E+03	2.93
1	2.86E+03	2.93
1	2.86E+03	2.94
1	2.87E+03	2.94
1	2.87E+03	2.94
1	2.87E+03	2.94
1	2.88E+03	2.94
1	2.88E+03	2.94
1	2.88E+03	2.94
1	2.89E+03	2.95
1	2.89E+03	2.95
1	2.90E+03	2.96
1	2.90E+03	2.96
1	2.90E+03	2.96
1	2.91E+03	2.96
1	2.91E+03	2.96
1	2.91E+03	2.97
1	2.92E+03	2.97
1	2.92E+03	2.97
1	2.92E+03	2.97
1	2.93E+03	2.97
1	2.93E+03	2.98
1	2.93E+03	2.98
1	2.93E+03	2.99
1	2.94E+03	2.99
1	2.94E+03	2.99
1	2.94E+03	2.99
1	2.95E+03	2.99
1	2.95E+03	2.99
1	2.96E+03	2.99
1	2.96E+03	2.99
1	2.96E+03	3
1	2.96E+03	3
1	2.97E+03	3
1	2.97E+03	3
1	2.97E+03	3.01
1	2.98E+03	3.01
1	2.98E+03	3.01
1	2.98E+03	3.01
1	2.99E+03	3.02
1	2.99E+03	3.02
1	2.99E+03	3.02
1	3.00E+03	3.02
1	3.00E+03	3.02
1	3.00E+03	3.02
1	3.01E+03	3.02
1	3.01E+03	3.03
1	3.02E+03	3.03
1	3.02E+03	3.03
1	3.02E+03	3.04
1	3.03E+03	3.04
1	3.03E+03	3.04
1	3.03E+03	3.04
1	3.04E+03	3.05
1	3.04E+03	3.05
1	3.04E+03	3.05
1	3.05E+03	3.05
1	3.05E+03	3.05
1	3.05E+03	3.05
1	3.06E+03	3.05
1	3.06E+03	3.06
1	3.07E+03	3.06
1	3.07E+03	3.06
1	3.07E+03	3.07
1	3.08E+03	3.07
1	3.08E+03	3.07
1	3.08E+03	3.07
1	3.09E+03	3.08
1	3.09E+03	3.08
1	3.09E+03	3.08
1	3.10E+03	3.08
1	3.10E+03	3.09
1	3.10E+03	3.09
1	3.11E+03	3.09
1	3.11E+03	3.09
1	3.11E+03	3.09
1	3.12E+03	3.09
1	3.12E+03	3.09
1	3.13E+03	3.1
1	3.13E+03	3.1
1	3.13E+03	3.1
1	3.14E+03	3.1
1	3.14E+03	3.11
1	3.14E+03	3.11
1	3.15E+03	3.11
1	3.15E+03	3.12
1	3.15E+03	3.12
1	3.16E+03	3.12
1	3.16E+03	3.12
1	3.16E+03	3.12
1	3.17E+03	3.12
1	3.17E+03	3.12
1	3.18E+03	3.12
1	3.18E+03	3.13
1	3.18E+03	3.13
1	3.19E+03	3.13
1	3.19E+03	3.14
1	3.19E+03	3.14
1	3.20E+03	3.14
1	3.20E+03	3.14
1	3.20E+03	3.15
1	3.21E+03	3.15
1	3.21E+03	3.15
1	3.21E+03	3.15
1	3.22E+03	3.15
1	3.22E+03	3.15
1	3.22E+03	3.15
1	3.23E+03	3.15
1	3.23E+03	3.16
1	3.24E+03	3.16
1	3.24E+03	3.16
1	3.24E+03	3.17
1	3.25E+03	3.17
1	3.25E+03	3.17
