X	Y (m)	z(m)		
	"2.32e3,"	2.54		
	"2.32e3,"	2.55		
	"2.33e3,"	2.55		
	"2.33e3,"	2.55		
	"2.33e3,"	2.56		
	"2.34e3,"	2.56		
	"2.34e3,"	2.56		
	"2.35e3,"	2.56		
	"2.35e3,"	2.56		
	"2.35e3,"	2.56		
	"2.36e3,"	2.56		
	"2.36e3,"	2.56		
	"2.36e3,"	2.56		
	"2.37e3,"	2.58		
	"2.37e3,"	2.58		
	"2.37e3,"	2.58		
	"2.38e3,"	2.58		
	"2.38e3,"	2.58		
	"2.38e3,"	2.58		
	"2.39e3,"	2.6		
	"2.39e3,"	2.6		
	"2.4e3,"	2.6		
	"2.4e3,"	2.6		
	"2.4e3,"	2.6		
	"2.41e3,"	2.6		
	"2.41e3,"	2.6		
	"2.41e3,"	2.6		
	"2.42e3,"	2.62		
	"2.42e3,"	2.62		
	"2.42e3,"	2.62		
	"2.43e3,"	2.63		
	"2.43e3,"	2.63		
	"2.43e3,"	2.63		
	"2.44e3,"	2.64		
	"2.44e3,"	2.64		
	"2.44e3,"	2.64		
	"2.45e3,"	2.64		
	"2.45e3,"	2.64		
	"2.46e3,"	2.64		
	"2.46e3,"	2.65		
	"2.46e3,"	2.65		
	"2.47e3,"	2.65		
	"2.47e3,"	2.66		
	"2.47e3,"	2.66		
	"2.48e3,"	2.66		
	"2.48e3,"	2.67		
	"2.48e3,"	2.67		
	"2.49e3,"	2.67		
	"2.49e3,"	2.67		
	"2.49e3,"	2.67		
	"2.5e3,"	2.68		
	"2.5e3,"	2.68		
	"2.51e3,"	2.68		
	"2.51e3,"	2.69		
	"2.51e3,"	2.69		
	"2.52e3,"	2.69		
	"2.52e3,"	2.7		
	"2.52e3,"	2.7		
	"2.53e3,"	2.7		
	"2.53e3,"	2.7		
	"2.53e3,"	2.7		
	"2.54e3,"	2.7		
	"2.54e3,"	2.71		
	"2.54e3,"	2.71		
	"2.55e3,"	2.71		
	"2.55e3,"	2.72		
	"2.55e3,"	2.72		
	"2.56e3,"	2.72		
	"2.56e3,"	2.73		
	"2.57e3,"	2.73		
	"2.57e3,"	2.73		
	"2.57e3,"	2.73		
	"2.58e3,"	2.73		
	"2.58e3,"	2.73		
	"2.58e3,"	2.74		
	"2.59e3,"	2.74		
	"2.59e3,"	2.74		
	"2.59e3,"	2.75		
	"2.6e3,"	2.75		
	"2.6e3,"	2.75		
	"2.6e3,"	2.76		
